stop_loss,buy_threshold,sell_threshold,max_positions,prediction_steps,cumulative_profit_loss,number_of_trades,max_drawdown
0.98,1.0025,0.9925,1,5,-0.019854872033539903,3,0.04227718300993444
0.98,1.0025,0.9925,1,10,0.0,1,0.0
0.98,1.0025,0.9925,1,15,0.0,1,0.0
0.98,1.0025,0.9925,2,5,-0.0460969717131695,5,0.08467404355186753
0.98,1.0025,0.9925,2,10,0.0,2,0.0
0.98,1.0025,0.9925,2,15,0.0,2,0.0
0.98,1.0025,0.9925,3,5,0.0,3,0.0
0.98,1.0025,0.9925,3,10,0.0,3,0.0
0.98,1.0025,0.9925,3,15,0.0,2,0.0
0.98,1.005,0.9975,1,5,0.04753165128985216,3,0.0
0.98,1.005,0.9975,1,10,0.022217259671258684,3,0.019688172611294234
0.98,1.005,0.9975,1,15,0.0,1,0.0
0.98,1.005,0.9975,2,5,-0.029205999902474855,5,0.06507354854928385
0.98,1.005,0.9975,2,10,0.0,2,0.0
0.98,1.005,0.9975,2,15,0.0,2,0.0
0.98,1.005,0.9975,3,5,0.0,3,0.0
0.98,1.005,0.9975,3,10,0.0,3,0.0
0.98,1.005,0.9975,3,15,0.0,2,0.0
0.98,1.005,0.995,1,5,0.0,1,0.0
0.98,1.005,0.995,1,10,0.0,1,0.0
0.98,1.005,0.995,1,15,0.0,1,0.0
0.98,1.005,0.995,2,5,-0.03563919425465727,4,0.06181246937525464
0.98,1.005,0.995,2,10,0.0,2,0.0
0.98,1.005,0.995,2,15,0.0,2,0.0
0.98,1.005,0.995,3,5,0.00822731760424688,4,0.03733066104258258
0.98,1.005,0.995,3,10,0.0,2,0.0
0.98,1.005,0.995,3,15,0.0,2,0.0
0.98,1.005,0.9925,1,5,0.0037637824236155387,3,0.03391005157330657
0.98,1.005,0.9925,1,10,0.0,1,0.0
0.98,1.005,0.9925,1,15,0.0,1,0.0
0.98,1.005,0.9925,2,5,0.0,2,0.0
0.98,1.005,0.9925,2,10,0.0,2,0.0
0.98,1.005,0.9925,2,15,0.0,2,0.0
0.98,1.005,0.9925,3,5,0.0,2,0.0
0.98,1.005,0.9925,3,10,0.0,2,0.0
0.98,1.005,0.9925,3,15,0.0,1,0.0
0.98,1.0075,0.9975,1,5,0.0,1,0.0
0.98,1.0075,0.9975,1,10,0.0,1,0.0
0.98,1.0075,0.9975,1,15,0.0,1,0.0
